Version;06/08/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Celeriac in remoulade sauce, prepacked;Céleri rémoulade, préemballé;-;-;78,5;1,12;4,19;12,8;2,38;1,3;2,87;0;1,59;0;-;1,08;7,73;3,67;0,1;1;28,6;616;0,069;0,29;2;12;0,11;35;315;< 10;395;0,22;< 2;< 8;< 0,5;3,4;-;-;25,2;< 0,04;< 0,04;0,38;0,28;0,19;28;< 0,08
Prepared mixed tuna and vegetable salad, canned, drained;Salade de thon et légumes, appertisée, égouttée;-;-;76,5;9,15;7,74;4,7;3,08;4,1;2,7;0;1,79;0;-;0,56;1,83;1,76;19,2;1,11;20,7;731;0,1;1,1;2;25,1;0,1;88,4;232;-;445;0,6;< 2;-;< 0,5;1,6;-;-;2,75;< 0,04;0,053;4,45;< 0,16;0,29;31;1,45
Prepared mixed meat/fish canned, drained salad;Salade composée avec viande ou poisson, appertisée, égouttée;-;-;76,7;8,06;6,4;5,3;1,9;3,3;2;0;1,5;0;-;0,16;3,27;1,54;15,2;0,95;22;584;0,07;0,7;< 20;20;0,1;92;220;30;381;0,38;< 21;781;0,44;2,04;9,75;-;-;0,032;0,022;4,13;0,2;0,12;11,1;1,23
Greek-style marinated mushrooms;Champignon à la grecque;-;-;84,6;2,08;3,95;3,55;2,38;0,28;2,35;0;1,64;0;-;0,23;1,74;1,43;0,11;1,26;22,6;-;0,17;0,58;1,91;13,8;0,13;52,2;292;1,79;500;0,39;0;747;0;1,47;-;-;10,3;0,062;0,2;1,88;0,76;0,11;27,3;0,018
Prepared potatoes salad, home-made;Salade de pommes de terre maison;-;-;76;2,68;9,9;8,2;-;-;1,3;0;1,95;0;-;1,43;2,48;3,74;68;1,33;19;-;0,12;0,65;-;15;0,1;52;254;-;529;0,31;29;36;0;-;-;-;10;0,077;0,06;0,89;0,53;0,14;7;0
Tabbouleh, prepacked;Taboulé ou Salade de couscous, préemballé;-;-;66,4;4,29;22,2;5,65;3,82;13;2,27;0;1,23;0;-;0,6;3,3;1,27;0,1;0,91;19,9;-;0,12;0,72;2;27,1;0,3;66,5;207;< 10;355;0,46;0;-;0;1,68;-;-;14,5;0,09;0,04;0,83;-;0,09;17;0
Potato salad, piémontaise-style, prepacked;Salade de pomme de terre à la piémontaise, préemballée;-;-;74,9;4,11;7,98;9,28;1,17;-;1,51;0;1,5;0;-;1,15;4,06;1,8;34,2;0,97;-;-;-;-;7,5;-;-;-;195;-;384;-;-;-;0,5;2,07;-;-;7,62;-;-;-;-;-;-;-
Prepared rice salad;Salade de riz;-;-;72,5;5,13;16,1;4,35;1;14,3;1,7;0;1,49;0;-;0,53;2,23;-;6,5;1,1;23,3;-;< 0,1;0,43;< 5;13,1;0,1;66,6;143;17,7;431;0,3;< 2;34;< 0,5;1,63;-;-;4,48;0,058;0,045;2,65;0,14;0,13;33,5;0,43
Prepared pasta salad, vegetarian;Salade de pâtes, végétarienne;-;-;73,9;5,7;12,9;8,1;2,3;10;1,7;0;0,73;0;-;2,37;1,46;3,92;6;0,58;14;86;0,06;0,6;4;11;0,2;37;84;-;51;0,4;7;1180;0;1,95;-;-;21;0,04;0,02;0,4;0;0,09;16;0
Salad, vegetable, without dressing (average);Crudité, sans assaisonnement (aliment moyen);93,4;22,3;93,7;1,03;2,5;0,53;2,01;0,25;1,51;;0,72;0;;0,095;0,2;0,13;0,059;0,037;27,3;52,6;0,055;0,46;1,92;13,6;0,18;29,4;257;3,38;14,8;0,19;0,012;1770;0,074;0,47;45,3;;14,6;0,044;0,041;0,53;0,22;0,087;39,3;0
